Star_id,ƐH [1],err_ƐH,ref_ƐH,crf_ƐH,ƐHe [2],err_ƐHe,ref_ƐHe,crf_ƐHe,ƐLi [3],err_ƐLi,ref_ƐLi,crf_ƐLi,ƐBe [4],err_ƐBe,ref_ƐBe,crf_ƐBe,ƐB [5],err_ƐB,ref_ƐB,crf_ƐB,ƐC [6],err_ƐC,ref_ƐC,crf_ƐC,ƐN [7],err_ƐN ,ref_ƐN ,crf_ƐN ,ƐO [8],err_ƐO,ref_ƐO,crf_ƐO,ƐF [9],err_ƐF,ref_ƐF,crf_ƐF,ƐNe [10],err_ƐNe,ref_ƐNe,crf_ƐNe,ƐNa [11],err_ƐNa,ref_ƐNa,crf_ƐNa,ƐMg [12],err_ƐMg ,ref_ƐMg ,crf_ƐMg ,ƐAl [13],err_ƐAl ,ref_ƐAl ,crf_ƐAl ,ƐSi [14],err_ƐSi ,ref_ƐSi ,crf_ƐSi ,ƐP [15],err_ƐP ,ref_ƐP ,crf_ƐP ,ƐS [16],err_ƐS ,ref_ƐS ,crf_ƐS ,ƐCl [17],err_ƐCl,ref_ƐCl,crf_ƐCl,ƐAr [18],err_ƐAr ,ref_ƐAr ,crf_ƐAr ,ƐK [19],err_ƐK,ref_ƐK,crf_ƐK,ƐCa [20],err_ƐCa,ref_ƐCa,crf_ƐCa,ƐSc [21],err_ƐSc,ref_ƐSc,crf_ƐSc,ƐTi [22],err_ƐTi,ref_ƐTi,crf_ƐTi,ƐV [23],err_ƐV,ref_ƐV,crf_ƐV,ƐCr [24],err_ƐCr,ref_ƐCr,crf_ƐCr,ƐMn [25],err_ƐMn,ref_ƐMn,crf_ƐMn,ƐFe [26],err_ƐFe,ref_ƐFe,crf_ƐFe,ƐCo [27],err_ƐCo,ref_Ɛco,crf_ƐCo,ƐNi [28],err_ƐNi,ref_ƐNi,crf_ƐNi,ƐCu [29],err_ƐCu,ref_ƐCu,crf_ƐCu,ƐZn [30],err_ƐZn,ref_ƐZn,crf_ƐZn,ƐGa [31],err_ƐGa,ref_ƐGa,crf_ƐGa,ƐGe [32],err_ƐGe,ref_ƐGe,crf_ƐGe,ƐAs [33],err_ƐAs,ref_ƐAs,crf_ƐAs,ƐSe [34],err_ƐSe,ref_ƐSe,crf_ƐSe,ƐBr [35],err_ƐBr,ref_ƐBr,crf_ƐBr,ƐKr [36],err_ƐKr,ref_ƐKr,crf_ƐKr,ƐRb [37],err_ƐRb,ref_ƐRb,crf_ƐRb,ƐSr [38],err_ƐSr,ref_ƐSr,crf_ƐSr,ƐY [39],err_ƐY,ref_ƐY,crf_ƐY,ƐZr [40],err_ƐZr,ref_ƐZr,crf_ƐZr,ƐNb [41],err_ƐNb,ref_ƐNb,crf_ƐNb,ƐMo [42],err_ƐMo,ref_ƐMo,crf_ƐMo,ƐTc [43],err_ƐTc,ref_ƐTc,crf_ƐTc,ƐRu [44],err_ƐRu,ref_ƐRu,crf_ƐRu,ƐRh [45],err_ƐRh,ref_ƐRh,crf_ƐRh,ƐPd [46],err_ƐPd,ref_ƐPd,crf_ƐPd,ƐAg [47],err_ƐAg,ref_ƐAg,crf_ƐAg,ƐCd [48],err_ƐCd,ref_ƐCd,crf_ƐCd,ƐIn [49],err_ƐIn,ref_ƐIn,crf_ƐIn,ƐSn [50],err_ƐSn,ref_ƐSn,crf_ƐSn,ƐSb [51],err_ƐSb,ref_ƐSb,crf_ƐSb,ƐTe [52],err_ƐTe,ref_ƐTe,crf_ƐTe,ƐI [53],err_ƐI,ref_ƐI,crf_ƐI,ƐXe [54],err_ƐXe,ref_ƐXe,crf_ƐXe,ƐCs [55],err_ƐCs,ref_ƐCs,crf_ƐCs,ƐBa [56],err_ƐBa,ref_ƐBa,crf_ƐBa,ƐLa [57],err_ƐLa,ref_ƐLa,crf_ƐLa,ƐCe [58],err_ƐCe,ref_ƐCe,crf_ƐCe,ƐPr [59],err_ƐPr,ref_ƐPr,crf_ƐPr,ƐNd [60],err_ƐNd,ref_ƐNd,crf_ƐNd,ƐPm [61],err_ƐPm,ref_ƐPm,crf_ƐPm,ƐSm [62],err_ƐSm,ref_ƐSm,crf_ƐSm,ƐEu [63],err_ƐEu,ref_ƐEu,crf_ƐEu,ƐGd [64],err_ƐGd,ref_ƐGd,crf_ƐGd,ƐTb [65],err_ƐTb,ref_ƐTb,crf_ƐTb,ƐDy [66],err_ƐDy,ref_ƐDy,crf_ƐDy,ƐHo [67],err_ƐHo,ref_ƐHo,crf_ƐHo,ƐEr [68],err_ƐEr,ref_ƐEr,crf_ƐEr,ƐTm [69],err_ƐTm,ref_ƐTm,crf_ƐTm,ƐYb [70],err_ƐYb,ref_ƐYb,crf_ƐYb,ƐLu [71],err_ƐLu,ref_ƐLu,crf_ƐLu,ƐHf [72],err_ƐHf,ref_ƐHf,crf_ƐHf,ƐTa [73],err_ƐTa,ref_ƐTa,crf_ƐTa,ƐW [74],err_ƐW,ref_ƐW,crf_ƐW,ƐRe [75],err_ƐRe,ref_ƐRe,crf_ƐRe,ƐOs [76],err_ƐOs,ref_ƐOs,crf_ƐOs,ƐIr [77],err_ƐIr,ref_ƐIr,crf_ƐIr,ƐPt [78],err_ƐPt,ref_ƐPt,crf_ƐPt,ƐAu [79],err_ƐAu,ref_ƐAu,crf_ƐAu,ƐHg [80],err_ƐHg,ref_ƐHg,crf_ƐHg,ƐTl [81],err_ƐTl,ref_ƐTl,crf_ƐTl,ƐPb [82],err_ƐPb,ref_ƐPb,crf_ƐPb,ƐBi [83],err_ƐBi,ref_ƐBi,crf_ƐBi,ƐPo [84],err_ƐPo,ref_ƐPo,crf_ƐPo,ƐAt [85],err_ƐAt,ref_ƐAt,crf_ƐAt,ƐRn [86],err_ƐRn,ref_ƐRn,crf_ƐRn,ƐFr [87],err_ƐFr,ref_ƐFr,crf_ƐFr,ƐRa [88],err_ƐRa,ref_ƐRa,crf_ƐRa,ƐAc [89],err_ƐAc,ref_ƐAc,crf_ƐAc,ƐTh [90],err_ƐTh,ref_ƐTh,crf_ƐTh,ƐPa [91],err_ƐPa,ref_ƐPa,crf_ƐPa,ƐU [92],err_ƐU,ref_ƐU,crf_ƐU
HD358,-,-,-,-,-0.93,-,147,0,-,-,-,-,-,-,-,-,-,-,-,-,-0.31,-,147,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.58,-,147,0,-,-,-,-,0.11,-,147,0,1.77,-,147,0,-0.60,-,147,0,-,-,-,-,-,-,-,-,-,-,-,-,0.66,-,147,0,-,-,-,-,0.35,-,147,0,-,-,-,-,0.36,-,147,0,2.77,-,147,0,0.34,-,147,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.21,-,147,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.05,-,147,0,1.59,-,147,0,1.92,-,147,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.88,-,147,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.91,-,147,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HD221507,-,-,-,-,-0.40,0.04,159,0,-,-,-,-,-,-,-,-,-,-,-,-,0.33,0.06,159,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.47,0.16,159,0,-1.95,0.29,173,0,-0.03,0.18,159,0,1.22,-,159,0,-0.21,0.09,159,0,-,-,-,-,-,-,-,-,-,-,-,-,-0.27,-,159,0,-,-,-,-,0.45,0.24,159,0,-,-,-,-,0.63,0.25,159,0,2.00,0.28,159,0,0.19,-,159,0,-2.49,0.50,174,0,-0.22,0.20,174,0,1.21,0.11,175,0,0.11,0.13,175,0,3.23,0.26,177,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.83,-,159,0,3.42,0.21,159,0,1.70,0.15,159,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.19,0.12,51,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.14,-,159,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HD144218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.10,0.21,36,0,-0.40,0.21,36,0,-0.16,0.21,36,0,-,-,-,-,0.15,0.22,36,0,-,-,-,-,-1.57,0.20,36,0,-0.92,0.20,36,0,-1.30,0.21,36,0,0.46,0.05,36,0,-0.79,0.20,36,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.32,0.20,36,0,0.37,0.16,36,0,-,-,-,-,0.05,0.17,36,0,1.70,0.19,36,0,-1.01,0.16,36,0,-,-,-,-,-0.64,0.08,36,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.85,0.22,36,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HD35497,-,-,-,-,-0.08,0.06,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-0.05,0.11,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.43,0.09,9,0,-,-,-,-,-1.08,0.18,9,0,-,-,-,-,-0.17,0.14,9,0,-,-,-,-,-,-,-,-,-,-,-,-,0.06,-,9,0,-,-,-,-,0.83,0.21,9,0,-,-,-,-,0.51,0.18,9,0,1.73,0.16,9,0,0.08,-,9,0,-,-,-,-,-0.48,0.19,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.02,-,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HD53244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.18,-,196,0,-,-,-,-,0.15,-,196,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.41,-,196,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HD106625,-,-,-,-,-0.10,0.06,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-0.14,0.13,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.62,0.14,9,0,-,-,-,-,-,-,-,-,0.63,-,9,0,-0.45,-,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.63,-,9,0,1.26,0.21,9,0,-,-,-,-,0.02,0.17,9,0,1.38,0.30,9,0,-0.60,0.17,9,0,-,-,-,-,-,-,-,-,-,-,-,-,1.81,-,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,-,9,0,-,-,-,-,1.47,0.13,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.48,-,45,0,0.98,-,45,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.49,-,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HD19400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.71,-,46,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HD143807,-,-,-,-,-0.57,0.04,49,0,-,-,-,-,-,-,-,-,-,-,-,-,-0.50,-,146,0,-,-,-,-,-,-,-,-,-,-,-,-,-0.26,-,48,0,-,-,-,-,-0.41,-,143,0,-1.40,0.35,173,0,0.02,-,143,0,0.90,-,146,0,0.09,-,146,0,-,-,-,-,-,-,-,-,-,-,-,-,0.59,-,146,0,-,-,-,-,0.33,-,146,0,0.51,-,146,0,0.39,-,143,0,1.36,0.08,87,0,0.12,-,146,0,2.95,-,143,0,-0.09,-,143,0,0.26,0.36,175,0,-0.18,0.27,175,0,1.31,0.37,175,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.44,-,50,0,1.80,-,50,0,1.94,-,143,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.97,0.07,51,0,-,-,-,-,1.40,-,146,0,1.79,-,143,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.83,-,143,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.40,-,146,0,-,-,-,-,4.94,-,46,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HD78316,-,-,-,-,-1.08,0.08,49,0,-,-,-,-,-,-,-,-,1.90,-,110,0,-0.20,-,7,0,-1.96,0.28,139,0,-0.15,-,7,0,-,-,-,-,0.69,-,7,0,-,-,-,-,-0.71,-,7,0,-2.48,0.38,173,0,0.15,-,7,0,1.95,-,7,0,-0.44,-,7,0,-,-,-,-,-,-,-,-,-,-,-,-,0.01,-,7,0,0.73,-,7,0,0.31,-,7,0,1.07,-,110,0,0.09,-,7,0,2.19,0.08,87,0,0.12,-,7,0,-1.69,0.50,174,0,-0.47,-,7,0,1.61,0.15,175,0,-1.06,0.13,175,0,4.19,-,7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.90,-,50,0,1.99,-,50,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.89,0.14,51,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.58,-,45,0,0.88,-,45,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.74,-,46,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HD33904,-,-,-,-,-0.96,0.05,49,0,-,-,-,-,-,-,-,-,-,-,-,-,-0.04,-,7,0,-2.03,0.24,139,0,-,-,-,-,-,-,-,-,-0.50,-,48,0,-,-,-,-,-0.46,-,7,0,-1.78,0.31,173,0,0.14,-,7,0,1.25,-,7,0,0.18,-,7,0,-,-,-,-,-,-,-,-,-,-,-,-,0.40,-,7,0,0.44,-,7,0,0.66,-,7,0,1.16,-,143,0,0.45,0.07,161,0,2.04,-,7,0,-0.19,-,7,0,-1.19,0.50,174,0,-0.56,-,7,0,1.31,0.15,175,0,-1.18,0.16,175,0,4.15,-,7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.00,-,50,0,3.23,-,50,0,1.07,-,7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.39,0.20,51,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.94,-,46,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
